A,0,0,4
A,0,1,6
A,0,2,10
A,0,4,-1
A,0,5,-4
A,0,6,-1
A,0,7,3
A,0,8,5
A,0,9,-7
A,0,10,-2
A,0,11,2
A,0,12,10
A,0,13,1
A,0,14,10
A,0,15,-7
A,0,16,-3
A,0,17,-8
A,0,18,-8
A,0,19,3
A,0,20,-5
A,0,21,9
A,0,22,8
A,0,23,1
A,0,24,-5
A,0,25,2
A,0,26,9
A,0,27,9
A,0,28,-2
A,0,29,-4
A,0,30,-8
A,0,31,6
A,0,32,-3
A,0,33,9
A,0,34,-4
A,0,35,-7
A,0,36,6
A,0,37,-1
A,0,38,6
A,0,39,-7
A,0,41,-10
A,0,42,-1
A,0,43,-9
A,0,45,-10
A,0,46,-10
A,0,47,2
A,0,48,2
A,0,49,2
A,0,50,9
A,0,51,-7
A,0,52,1
A,0,53,1
A,0,54,-8
A,0,55,3
A,0,56,-8
A,0,57,-3
A,0,58,-6
A,0,59,8
A,0,60,2
A,0,61,7
A,0,62,-6
A,0,63,-5
A,0,64,-4
A,0,65,-2
A,0,66,-1
A,0,68,-3
A,0,69,6
A,0,70,-5
A,0,72,2
A,0,73,-1
A,0,74,9
A,0,75,10
A,0,76,-5
A,0,77,8
A,0,78,-4
A,0,79,5
A,0,80,6
A,0,81,-7
A,0,82,-7
A,0,83,5
A,0,84,-8
A,0,85,-6
A,0,86,6
A,0,87,9
A,0,88,7
A,0,89,-9
A,0,90,4
A,0,91,3
A,0,92,9
A,0,93,10
A,0,94,-4
A,0,95,-1
A,0,96,-8
A,0,97,4
A,0,98,8
A,0,99,8
A,0,100,7
A,0,101,-9
A,0,102,-1
A,0,105,9
A,0,106,5
A,0,107,3
A,0,108,-4
A,0,109,-10
A,0,110,-6
A,0,111,-1
A,0,112,3
A,0,113,4
A,0,114,-4
A,0,115,5
A,0,116,3
A,0,117,5
A,0,118,6
A,0,119,9
A,0,120,-3
A,0,121,7
A,0,122,-3
A,0,123,-6
A,0,124,-3
A,0,125,-7
A,0,126,-5
A,0,127,-1
A,0,128,-8
A,0,129,10
A,0,130,-9
A,0,131,-1
A,0,132,10
A,0,133,5
A,0,134,9
A,0,135,-1
A,0,136,-5
A,0,137,-8
A,0,138,-1
A,0,139,2
A,0,140,-2
A,0,141,4
