A	0	0	6
A	1	0	-9
A	2	0	-1
A	3	0	9
A	4	0	0
A	5	0	-8
A	6	0	-6
A	7	0	-1
A	8	0	0
A	9	0	6
A	10	0	4
A	11	0	9
A	12	0	5
A	13	0	-8
A	14	0	-9
A	15	0	-5
A	16	0	-6
A	17	0	7
A	18	0	0
A	19	0	5
A	20	0	3
A	21	0	3
A	22	0	3
A	23	0	-8
A	24	0	-2
A	25	0	-8
A	26	0	-4
A	27	0	2
A	28	0	-5
A	29	0	-4
A	30	0	-2
A	31	0	-9
A	32	0	-6
A	33	0	-6
A	34	0	-4
A	35	0	7
A	36	0	4
A	37	0	-2
A	38	0	2
A	39	0	-4
A	40	0	1
A	41	0	-7
A	42	0	-8
A	43	0	6
A	44	0	-3
A	45	0	2
A	46	0	2
A	47	0	2
A	48	0	-7
A	49	0	4
A	50	0	5
A	51	0	6
A	52	0	-2
A	53	0	-9
A	54	0	-3
A	55	0	-4
A	56	0	-4
A	57	0	-9
A	58	0	-4
A	59	0	-6
A	60	0	0
A	61	0	-5
A	62	0	8
A	63	0	9
A	64	0	3
A	65	0	-3
A	66	0	7
A	67	0	-3
A	68	0	-1
A	69	0	0
A	70	0	-3
A	71	0	-9
A	72	0	-5
A	73	0	7
A	74	0	-4
A	75	0	0
A	76	0	-9
A	77	0	-4
A	78	0	8
A	79	0	8
A	80	0	6
A	81	0	9
A	82	0	7
A	83	0	-6
A	84	0	6
A	85	0	-2
A	86	0	8
A	87	0	-2
A	88	0	1
A	89	0	-1
A	90	0	-6
A	91	0	-7
A	92	0	3
A	93	0	-2
A	94	0	9
A	95	0	-8
A	96	0	4
A	97	0	4
A	98	0	2
A	99	0	4
B	0	0	2
B	0	1	-5
B	0	2	1
B	0	3	-8
B	0	4	-5
B	0	5	5
B	0	6	7
B	0	7	4
B	0	8	7
B	0	9	3
B	0	10	8
B	0	11	-9
B	0	12	0
B	0	13	9
B	0	14	0
B	0	15	-2
B	0	16	7
B	0	17	7
B	0	18	-5
B	0	19	6
B	0	20	-7
B	0	21	-6
B	0	22	-8
B	0	23	9
B	0	24	6
B	0	25	0
B	0	26	-7
B	0	27	4
B	0	28	8
B	0	29	5
B	0	30	5
B	0	31	1
B	0	32	-6
B	0	33	5
B	0	34	-5
B	0	35	2
B	0	36	6
B	0	37	9
B	0	38	3
B	0	39	-5
B	0	40	-7
B	0	41	-6
B	0	42	4
B	0	43	8
B	0	44	-9
B	0	45	7
B	0	46	-7
B	0	47	5
B	0	48	8
B	0	49	-3
B	0	50	6
B	0	51	1
